experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
1, 25, 29715, 28533, 234, 0.18, 4.99
2, 25, 19075, 19315, 252, 0.36, 3.65
3, 25, 32547, 31569, 246, 0.27, 6.08
4, 25, 24291, 24395, 250, 0.19, 4.63
5, 25, 33571, 34482, 238, 0.19, 7.61
6, 26, 14055, 13782, 266, 0.30, 2.39
7, 26, 56863, 51889, 238, 0.20, 9.81
8, 26, 13047, 13699, 244, 0.29, 2.62
9, 26, 54311, 50802, 244, 0.23, 9.97
10, 26, 22071, 23050, 254, 0.25, 5.06
11, 27, 21515, 21904, 244, 0.14, 4.44
12, 27, 42715, 42354, 250, 0.21, 9.79
13, 27, 37675, 38625, 238, 0.40, 8.51
14, 27, 53291, 50313, 238, 0.36, 9.87
15, 27, 37307, 37046, 242, 0.23, 7.27
16, 28, 48175, 47102, 258, 0.19, 9.16
17, 28, 37359, 34022, 260, 0.22, 5.88
18, 28, 24303, 24482, 258, 0.30, 4.95
19, 28, 65455, 57903, 240, 0.29, 17.65
20, 28, 40727, 38755, 244, 0.36, 7.35
21, 29, 31283, 31687, 272, 0.35, 7.03
22, 29, 45139, 41563, 272, 0.39, 8.05
23, 29, 32531, 33585, 254, 0.26, 7.63
24, 29, 56755, 51813, 256, 0.29, 11.10
25, 29, 62579, 55379, 252, 0.31, 15.29
26, 30, 21329, 21541, 424, 1.24, 4.59
27, 30, 94229, 86327, 396, 2.07, 21.36
28, 30, 35071, 34557, 436, 1.89, 7.15
29, 30, 72923, 71868, 414, 2.45, 18.15
30, 30, 62743, 61290, 400, 1.88, 15.64
31, 31, 61011, 56359, 422, 3.53, 13.05
32, 31, 142599, 140618, 420, 2.25, 78.78
33, 31, 112639, 108961, 414, 0.62, 63.36
34, 31, 66325, 64821, 416, 4.42, 22.03
35, 31, 83803, 82217, 412, 2.33, 30.39
36, 32, 111079, 112908, 406, 2.00, 38.54
37, 32, 99195, 98147, 438, 3.84, 35.23
38, 32, 112835, 109626, 400, 2.07, 42.44
39, 32, 172315, 172726, 430, 2.14, 132.57
40, 32, 183915, 178530, 412, 2.31, 177.71
41, 33, 84467, 80308, 418, 2.34, 19.01
42, 33, 146503, 145815, 412, 2.07, 69.68
43, 33, 61209, 60945, 380, 0.85, 14.66
44, 33, 207615, 196176, 414, 2.05, 120.94
45, 33, 93535, 94588, 436, 2.55, 35.35
46, 34, 48243, 46020, 428, 3.01, 10.14
47, 34, 93725, 90881, 412, 2.52, 24.59
48, 34, 163315, 161232, 430, 1.98, 57.30
49, 34, 105569, 97891, 426, 2.47, 29.18
50, 34, 134487, 127249, 424, 2.75, 47.08
51, 35, 59423, 58911, 418, 3.24, 15.46
52, 35, 220135, 209750, 416, 2.13, 166.87
53, 35, 112231, 113425, 444, 2.59, 35.95
54, 35, 171103, 162906, 444, 3.29, 65.60
55, 35, 81841, 77646, 406, 3.61, 19.59
56, 36, 134531, 134475, 432, 2.05, 64.37
57, 36, 104299, 102748, 448, 1.36, 36.74
58, 36, 61267, 61168, 452, 1.15, 16.95
59, 36, 51111, 51601, 448, 1.43, 15.90
60, 36, 128915, 130043, 424, 2.29, 51.07
61, 37, 100413, 94864, 426, 1.92, 24.82
62, 37, 177879, 177834, 450, 2.15, 76.32
63, 37, 184431, 182212, 420, 3.34, 297.91
64, 37, 127415, 126153, 446, 1.71, 40.79
65, 37, 167311, 168341, 416, 0.99, 90.69
66, 38, 253907, 248617, 438, 2.18, 230.17
67, 38, 162883, 163076, 442, 1.08, 67.48
68, 38, 43057, 42756, 452, 0.75, 10.85
69, 38, 70095, 70692, 442, 2.27, 20.03
70, 38, 82799, 75226, 430, 2.03, 17.96
71, 39, 112887, 110004, 452, 2.23, 29.56
72, 39, 61373, 60914, 450, 2.17, 16.56
73, 39, 123631, 124411, 434, 0.87, 67.58
74, 39, 57393, 56865, 434, 1.93, 14.66
75, 39, 105307, 101697, 428, 2.01, 47.67
76, 40, 69461, 67241, 454, 1.94, 17.77
77, 40, 92023, 89309, 456, 2.37, 29.94
78, 40, 56619, 57286, 454, 1.45, 14.54
79, 40, 160863, 152678, 448, 3.33, 157.38
80, 40, 150131, 149494, 450, 2.20, 56.77
81, 41, 213687, 196797, 446, 2.39, 107.65
82, 41, 134039, 133739, 458, 2.06, 63.94
83, 41, 151699, 152130, 450, 1.63, 46.25
84, 41, 66741, 66348, 434, 2.34, 17.87
85, 41, 57787, 58192, 440, 2.25, 17.09
86, 42, 60001, 59333, 456, 1.06, 15.44
87, 42, 69951, 68413, 460, 1.39, 16.06
88, 42, 126727, 121816, 456, 1.22, 61.35
89, 42, 120003, 114509, 468, 3.69, 41.42
90, 42, 164595, 162903, 452, 2.92, 71.42
91, 43, 56261, 57170, 464, 2.44, 14.48
92, 43, 67671, 68153, 470, 2.13, 18.18
93, 43, 86947, 81842, 468, 2.46, 20.90
94, 43, 222591, 215804, 458, 3.02, 146.18
95, 43, 129039, 128383, 456, 2.70, 38.23
96, 44, 141467, 142305, 458, 1.39, 43.20
97, 44, 32929, 33210, 484, 1.20, 8.46
98, 44, 98819, 93218, 464, 1.58, 33.66
99, 44, 90107, 90545, 474, 1.76, 26.01
100, 44, 54507, 55464, 488, 2.08, 15.59
101, 45, 93863, 91284, 624, 9.52, 30.45
102, 45, 80557, 79087, 626, 7.31, 20.27
103, 45, 137487, 137323, 628, 4.88, 55.94
104, 45, 122965, 119856, 586, 5.64, 41.49
105, 45, 164369, 163347, 600, 19.11, 62.00
106, 46, 153663, 153720, 626, 6.24, 52.54
107, 46, 235695, 217694, 610, 12.46, 102.99
108, 46, 74027, 74785, 640, 5.06, 21.52
109, 46, 318383, 316444, 620, 6.83, 148.96
110, 46, 176567, 176244, 610, 9.84, 102.54
111, 47, 379939, 378347, 644, 4.32, 417.01
112, 47, 378795, 375206, 610, 13.25, 257.05
113, 47, 102187, 101673, 610, 9.99, 31.88
114, 47, 222595, 219047, 638, 10.77, 96.96
115, 47, 281515, 280758, 612, 5.05, 144.45
116, 48, 334519, 332805, 636, 8.25, 202.85
117, 48, 100461, 99913, 612, 11.38, 27.96
118, 48, 217339, 206823, 628, 15.06, 86.70
119, 48, 225019, 218837, 626, 3.54, 97.57
120, 48, 69367, 69204, 632, 8.05, 23.47
121, 49, 318003, 308445, 616, 34.44, 311.88
122, 49, 534847, 528881, 606, 7.68, 178.34
123, 49, 231751, 215562, 622, 12.67, 115.35
124, 49, 304459, 302474, 594, 3.21, 186.05
125, 49, 144951, 140930, 630, 7.30, 50.46
126, 50, 512347, 474785, 648, 5.92, 494.00
127, 50, 627627, 522086, 632, 5.18, 667.88
128, 50, 333511, 332152, 636, 6.48, 271.05
129, 50, 119713, 117845, 624, 6.72, 34.93
130, 50, 426939, 411398, 620, 7.37, 302.44
131, 51, 117431, 117087, 630, 7.24, 43.34
132, 51, 167487, 167503, 652, 4.46, 69.78
133, 51, 505615, 494773, 614, 29.41, 613.61
134, 51, 421027, 407308, 594, 10.53, 417.82
135, 51, 96935, 96834, 642, 11.60, 27.11
136, 52, 104847, 105756, 642, 6.90, 34.44
137, 52, 94607, 94097, 660, 5.21, 35.36
138, 52, 299767, 300262, 664, 4.96, 216.29
139, 52, 365267, 331844, 642, 4.64, 135.17
140, 52, 388633, 360980, 602, 4.70, 245.89
141, 53, 537959, 494029, 644, 9.80, 449.34
142, 53, 234611, 235192, 642, 4.69, 117.99
143, 53, 179219, 179771, 666, 7.15, 103.14
144, 53, 282595, 264481, 656, 13.16, 119.12
145, 53, 245987, 243417, 644, 11.83, 380.05
146, 54, 586119, 569907, 654, 6.07, 216.02
147, 54, 301479, 288213, 632, 8.70, 163.14
148, 54, 622043, 526952, 604, 14.81, 729.05
149, 54, 126075, 117193, 650, 8.67, 38.46
150, 54, 527923, 453280, 642, 9.82, 390.02
151, 55, 218471, 207886, 634, 5.62, 95.09
152, 55, 86765, 86461, 664, 7.92, 27.77
153, 55, 139927, 134809, 646, 8.62, 48.75
154, 55, 118931, 117100, 656, 5.89, 49.57
155, 55, 308979, 297880, 654, 11.88, 149.88
156, 56, 425575, 414908, 676, 11.31, 289.93
157, 56, 232899, 231773, 640, 11.19, 155.53
158, 56, 447107, 410565, 668, 11.16, 248.65
159, 56, 129175, 126437, 648, 5.74, 42.65
160, 56, 133871, 126945, 660, 8.22, 47.51
161, 57, 161323, 147090, 656, 5.06, 41.82
162, 57, 376347, 373237, 654, 5.11, 258.43
163, 57, 159787, 160396, 668, 6.28, 59.61
164, 57, 483591, 457142, 664, 12.39, 319.62
165, 57, 97017, 93899, 674, 7.41, 33.21
166, 58, 275083, 270420, 670, 12.30, 120.77
167, 58, 657759, 637280, 662, 5.07, 258.04
168, 58, 286551, 285133, 662, 16.15, 162.70
169, 58, 216219, 211382, 660, 11.20, 106.84
170, 58, 369487, 368066, 656, 21.00, 321.55
171, 59, 185131, 179520, 658, 8.19, 57.42
172, 59, 337667, 334386, 676, 7.19, 523.94
173, 59, 294495, 292155, 674, 10.95, 133.39
174, 59, 319435, 297797, 660, 8.68, 186.61
175, 59, 455663, 448155, 650, 5.66, 402.59
176, 60, 224301, 214594, 812, 70.88, 104.97
177, 60, 236151, 234155, 804, 30.66, 89.97
178, 60, 381087, 370281, 812, 10.97, 337.37
179, 60, 298607, 292602, 816, 17.66, 103.14
180, 60, 214843, 212174, 816, 75.92, 181.79
181, 61, 488495, 484473, 826, 90.18, 910.68
