experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
1, 25, 643, 646, 152, 0.18, 0.14
2, 25, 217, 220, 144, 0.02, 0.04
3, 25, 677, 678, 150, 0.03, 0.13
4, 25, 207, 207, 140, 0.04, 0.04
5, 25, 217, 217, 150, 0.05, 0.04
6, 26, 223, 226, 148, 0.03, 0.04
7, 26, 569, 574, 150, 0.02, 0.11
8, 26, 2311, 2313, 148, 0.02, 0.45
9, 26, 2211, 2219, 144, 0.02, 0.48
10, 26, 229, 229, 142, 0.04, 0.05
11, 27, 291, 293, 154, 0.04, 0.06
12, 27, 222, 223, 152, 0.02, 0.05
13, 27, 2431, 2432, 152, 0.05, 0.49
14, 27, 217, 220, 160, 0.02, 0.05
15, 27, 253, 257, 146, 0.07, 0.05
16, 28, 1315, 1320, 156, 0.01, 0.26
17, 28, 525, 529, 158, 0.09, 0.10
18, 28, 665, 666, 158, 0.07, 0.13
19, 28, 759, 763, 158, 0.05, 0.14
20, 28, 278, 278, 154, 0.02, 0.06
21, 29, 991, 993, 164, 0.02, 0.23
22, 29, 523, 526, 164, 0.04, 0.10
23, 29, 1543, 1548, 158, 0.03, 0.30
24, 29, 719, 722, 158, 0.02, 0.14
25, 29, 1871, 1872, 162, 0.02, 0.37
26, 30, 668, 670, 168, 0.04, 0.13
27, 30, 587, 589, 178, 0.02, 0.12
28, 30, 787, 791, 174, 0.06, 0.15
29, 30, 233, 234, 176, 0.03, 0.05
30, 30, 289, 291, 164, 0.05, 0.06
31, 31, 699, 700, 182, 0.09, 0.17
32, 31, 835, 836, 176, 0.03, 0.16
33, 31, 1967, 1967, 184, 0.02, 0.39
34, 31, 879, 884, 180, 0.05, 0.17
35, 31, 325, 328, 178, 0.08, 0.06
36, 32, 799, 802, 184, 0.02, 0.16
37, 32, 913, 916, 184, 0.06, 0.18
38, 32, 891, 893, 186, 0.05, 0.17
39, 32, 1975, 1976, 186, 0.02, 0.44
40, 32, 725, 729, 182, 0.08, 0.14
41, 33, 1185, 1186, 188, 0.11, 0.23
42, 33, 891, 892, 192, 0.08, 0.17
43, 33, 872, 874, 182, 0.14, 0.17
44, 33, 351, 353, 188, 0.05, 0.07
45, 33, 739, 741, 190, 0.03, 0.14
46, 34, 289, 289, 194, 0.10, 0.06
47, 34, 307, 308, 190, 0.12, 0.06
48, 34, 1575, 1576, 196, 0.06, 0.35
49, 34, 1429, 1430, 194, 0.03, 0.28
50, 34, 562, 564, 192, 0.08, 0.11
51, 35, 2655, 2656, 204, 0.05, 0.54
52, 35, 287, 289, 210, 0.04, 0.06
53, 35, 299, 300, 210, 0.14, 0.06
54, 35, 315, 317, 200, 0.02, 0.07
55, 35, 297, 297, 210, 0.11, 0.06
56, 36, 765, 769, 218, 0.11, 0.15
57, 36, 1119, 1122, 208, 0.18, 0.26
58, 36, 3847, 3849, 212, 0.04, 0.81
59, 36, 987, 989, 206, 0.07, 0.20
60, 36, 3339, 3343, 208, 0.06, 0.73
61, 37, 1195, 1198, 220, 0.04, 0.24
62, 37, 1139, 1142, 208, 0.12, 0.23
63, 37, 3019, 3024, 224, 0.02, 0.67
64, 37, 2099, 2100, 220, 0.06, 0.42
65, 37, 7323, 7326, 218, 0.04, 1.66
66, 38, 351, 353, 212, 0.14, 0.08
67, 38, 315, 316, 216, 0.03, 0.07
68, 38, 2151, 2153, 216, 0.04, 0.43
69, 38, 1023, 1027, 226, 0.06, 0.20
70, 38, 2379, 2382, 216, 0.12, 0.49
71, 39, 2855, 2858, 216, 0.12, 0.64
72, 39, 2683, 2689, 228, 0.04, 0.55
73, 39, 475, 477, 218, 0.11, 0.09
74, 39, 1971, 1973, 226, 0.04, 0.45
75, 39, 973, 978, 226, 0.08, 0.19
76, 40, 371, 374, 236, 0.07, 0.08
77, 40, 995, 997, 244, 0.12, 0.20
78, 40, 1199, 1202, 238, 0.10, 0.25
79, 40, 321, 323, 218, 0.05, 0.07
80, 40, 2039, 2043, 234, 0.09, 0.41
81, 41, 2307, 2311, 234, 0.07, 0.51
82, 41, 397, 398, 240, 0.09, 0.08
83, 41, 1383, 1385, 230, 0.05, 0.28
84, 41, 1081, 1082, 244, 0.09, 0.21
85, 41, 1183, 1184, 248, 0.12, 0.24
86, 42, 3871, 3871, 238, 0.05, 0.87
87, 42, 3075, 3079, 248, 0.03, 0.64
88, 42, 1119, 1122, 240, 0.15, 0.27
89, 42, 1579, 1581, 238, 0.14, 0.32
90, 42, 383, 384, 240, 0.03, 0.08
91, 43, 3939, 3940, 244, 0.08, 0.87
92, 43, 2875, 2880, 252, 0.07, 0.60
93, 43, 365, 366, 248, 0.06, 0.08
94, 43, 2255, 2259, 254, 0.05, 0.47
95, 43, 1165, 1168, 238, 0.05, 0.24
96, 44, 1323, 1324, 256, 0.07, 0.31
97, 44, 1167, 1170, 246, 0.06, 0.24
98, 44, 10555, 10558, 258, 0.06, 2.50
99, 44, 1069, 1075, 250, 0.09, 0.22
100, 44, 1843, 1844, 246, 0.09, 0.39
101, 45, 363, 364, 268, 0.18, 0.08
102, 45, 603, 605, 268, 0.06, 0.13
103, 45, 898, 901, 266, 0.04, 0.23
104, 45, 699, 699, 254, 0.17, 0.14
105, 45, 799, 802, 266, 0.12, 0.17
106, 46, 1033, 1038, 268, 0.18, 0.21
107, 46, 9979, 9979, 264, 0.05, 2.42
108, 46, 5583, 5584, 272, 0.08, 1.30
109, 46, 3351, 3353, 268, 0.13, 0.72
110, 46, 439, 440, 260, 0.06, 0.10
111, 47, 1687, 1692, 278, 0.10, 0.39
112, 47, 449, 452, 278, 0.10, 0.10
113, 47, 10163, 10166, 278, 0.09, 2.42
114, 47, 5087, 5087, 274, 0.14, 1.13
115, 47, 1555, 1558, 274, 0.07, 0.36
116, 48, 11735, 11740, 282, 0.08, 2.82
117, 48, 3435, 3437, 280, 0.11, 0.74
118, 48, 2431, 2431, 272, 0.10, 0.58
119, 48, 11103, 11104, 280, 0.08, 2.69
120, 48, 3411, 3415, 278, 0.21, 0.79
