run,k,n,method,step,time
test,0,20,gen_instance,all, 32.6
test,0,20,plain_MIP,build+solve,2.9
test,0,20,CPP,BDD-build,134.8
test,0,20,CPP,MIP-build,20.4
test,0,20,CPP,MIP-solve,13.6
test,0,20,CPP,VS-build+solve,91.6
test,0,20,CPP,BDD-align-to-vs,82.1
test,0,20,CPP,intersection-build,54.8
test,0,20,CPP,intersection-SP-solve,2.4
test,1,20,gen_instance,all, 16.0
test,1,20,plain_MIP,build+solve,2.3
test,1,20,CPP,BDD-build,67.3
test,1,20,CPP,MIP-build,13.6
test,1,20,CPP,MIP-solve,9.3
test,1,20,CPP,VS-build+solve,44.8
test,1,20,CPP,BDD-align-to-vs,48.9
test,1,20,CPP,intersection-build,3.7
test,1,20,CPP,intersection-SP-solve,0.6
test,2,20,gen_instance,all, 8.8
test,2,20,plain_MIP,build+solve,2.6
test,2,20,CPP,BDD-build,145.9
test,2,20,CPP,MIP-build,17.5
test,2,20,CPP,MIP-solve,11.7
test,2,20,CPP,VS-build+solve,22.2
test,2,20,CPP,BDD-align-to-vs,59.3
test,2,20,CPP,intersection-build,5.2
test,2,20,CPP,intersection-SP-solve,0.9
test,3,20,gen_instance,all, 7.7
test,3,20,plain_MIP,build+solve,1.6
test,3,20,CPP,BDD-build,98.2
test,3,20,CPP,MIP-build,15.7
test,3,20,CPP,MIP-solve,10.0
test,3,20,CPP,VS-build+solve,41.8
test,3,20,CPP,BDD-align-to-vs,80.6
test,3,20,CPP,intersection-build,6.7
test,3,20,CPP,intersection-SP-solve,1.7
test,4,20,gen_instance,all, 7.7
test,4,20,plain_MIP,build+solve,1.4
test,4,20,CPP,BDD-build,65.2
test,4,20,CPP,MIP-build,11.5
test,4,20,CPP,MIP-solve,14.1
test,4,20,CPP,VS-build+solve,100.7
test,4,20,CPP,BDD-align-to-vs,85.2
test,4,20,CPP,intersection-build,57.0
test,4,20,CPP,intersection-SP-solve,1.2
test,5,20,gen_instance,all, 9.7
test,5,20,plain_MIP,build+solve,3.1
test,5,20,CPP,BDD-build,89.2
test,5,20,CPP,MIP-build,14.9
test,5,20,CPP,MIP-solve,10.6
test,5,20,CPP,VS-build+solve,47.1
test,5,20,CPP,BDD-align-to-vs,72.0
test,5,20,CPP,intersection-build,4.1
test,5,20,CPP,intersection-SP-solve,1.2
test,6,20,gen_instance,all, 7.9
test,6,20,plain_MIP,build+solve,1.5
test,6,20,CPP,BDD-build,183.3
test,6,20,CPP,MIP-build,28.0
test,6,20,CPP,MIP-solve,17.3
test,6,20,CPP,VS-build+solve,32.1
test,6,20,CPP,BDD-align-to-vs,165.2
test,6,20,CPP,intersection-build,7.0
test,6,20,CPP,intersection-SP-solve,0.8
test,7,20,gen_instance,all, 8.5
test,7,20,plain_MIP,build+solve,2.0
test,7,20,CPP,BDD-build,101.4
test,7,20,CPP,MIP-build,17.7
test,7,20,CPP,MIP-solve,9.9
test,7,20,CPP,VS-build+solve,45.9
test,7,20,CPP,BDD-align-to-vs,100.6
test,7,20,CPP,intersection-build,44.7
test,7,20,CPP,intersection-SP-solve,2.5
test,8,20,gen_instance,all, 9.6
test,8,20,plain_MIP,build+solve,2.8
test,8,20,CPP,BDD-build,88.5
test,8,20,CPP,MIP-build,15.0
test,8,20,CPP,MIP-solve,11.9
test,8,20,CPP,VS-build+solve,28.4
test,8,20,CPP,BDD-align-to-vs,106.7
test,8,20,CPP,intersection-build,4.8
test,8,20,CPP,intersection-SP-solve,0.8
test,9,20,gen_instance,all, 9.1
test,9,20,plain_MIP,build+solve,2.6
test,9,20,CPP,BDD-build,143.1
test,9,20,CPP,MIP-build,20.6
test,9,20,CPP,MIP-solve,17.2
test,9,20,CPP,VS-build+solve,54.0
test,9,20,CPP,BDD-align-to-vs,154.1
test,9,20,CPP,intersection-build,6.0
test,9,20,CPP,intersection-SP-solve,0.9
test,10,20,gen_instance,all, 7.9
test,10,20,plain_MIP,build+solve,1.7
test,10,20,CPP,BDD-build,84.4
test,10,20,CPP,MIP-build,14.3
test,10,20,CPP,MIP-solve,9.6
test,10,20,CPP,VS-build+solve,16.7
test,10,20,CPP,BDD-align-to-vs,34.7
test,10,20,CPP,intersection-build,4.0
test,10,20,CPP,intersection-SP-solve,0.6
test,11,20,gen_instance,all, 10.0
test,11,20,plain_MIP,build+solve,3.0
test,11,20,CPP,BDD-build,79.6
test,11,20,CPP,MIP-build,14.3
test,11,20,CPP,MIP-solve,12.4
test,11,20,CPP,VS-build+solve,69.0
test,11,20,CPP,BDD-align-to-vs,127.0
test,11,20,CPP,intersection-build,5.0
test,11,20,CPP,intersection-SP-solve,0.9
test,12,20,gen_instance,all, 8.5
test,12,20,plain_MIP,build+solve,1.8
test,12,20,CPP,BDD-build,119.7
test,12,20,CPP,MIP-build,18.0
test,12,20,CPP,MIP-solve,10.5
test,12,20,CPP,VS-build+solve,71.5
test,12,20,CPP,BDD-align-to-vs,71.3
test,12,20,CPP,intersection-build,6.0
test,12,20,CPP,intersection-SP-solve,1.5
test,13,20,gen_instance,all, 8.0
test,13,20,plain_MIP,build+solve,1.6
test,13,20,CPP,BDD-build,96.8
test,13,20,CPP,MIP-build,15.9
test,13,20,CPP,MIP-solve,10.7
test,13,20,CPP,VS-build+solve,45.6
test,13,20,CPP,BDD-align-to-vs,101.7
test,13,20,CPP,intersection-build,9.2
test,13,20,CPP,intersection-SP-solve,2.5
test,14,20,gen_instance,all, 7.2
test,14,20,plain_MIP,build+solve,1.2
test,14,20,CPP,BDD-build,146.5
test,14,20,CPP,MIP-build,17.6
test,14,20,CPP,MIP-solve,12.8
test,14,20,CPP,VS-build+solve,13.4
test,14,20,CPP,BDD-align-to-vs,54.4
test,14,20,CPP,intersection-build,4.1
test,14,20,CPP,intersection-SP-solve,0.5
test,15,20,gen_instance,all, 9.0
test,15,20,plain_MIP,build+solve,2.3
test,15,20,CPP,BDD-build,141.1
test,15,20,CPP,MIP-build,56.4
test,15,20,CPP,MIP-solve,18.8
test,15,20,CPP,VS-build+solve,26.6
test,15,20,CPP,BDD-align-to-vs,56.9
test,15,20,CPP,intersection-build,6.1
test,15,20,CPP,intersection-SP-solve,1.3
test,16,20,gen_instance,all, 14.2
test,16,20,plain_MIP,build+solve,1.4
test,16,20,CPP,BDD-build,106.8
test,16,20,CPP,MIP-build,16.5
test,16,20,CPP,MIP-solve,16.3
test,16,20,CPP,VS-build+solve,103.9
test,16,20,CPP,BDD-align-to-vs,93.8
test,16,20,CPP,intersection-build,7.8
test,16,20,CPP,intersection-SP-solve,2.0
test,17,20,gen_instance,all, 9.4
test,17,20,plain_MIP,build+solve,2.9
test,17,20,CPP,BDD-build,185.5
test,17,20,CPP,MIP-build,25.3
test,17,20,CPP,MIP-solve,17.3
test,17,20,CPP,VS-build+solve,46.8
test,17,20,CPP,BDD-align-to-vs,81.2
test,17,20,CPP,intersection-build,9.0
test,17,20,CPP,intersection-SP-solve,2.3
test,18,20,gen_instance,all, 8.5
test,18,20,plain_MIP,build+solve,2.4
test,18,20,CPP,BDD-build,131.0
test,18,20,CPP,MIP-build,59.3
test,18,20,CPP,MIP-solve,15.3
test,18,20,CPP,VS-build+solve,61.0
test,18,20,CPP,BDD-align-to-vs,75.5
test,18,20,CPP,intersection-build,6.9
test,18,20,CPP,intersection-SP-solve,1.1
test,19,20,gen_instance,all, 8.4
test,19,20,plain_MIP,build+solve,2.0
test,19,20,CPP,BDD-build,130.5
test,19,20,CPP,MIP-build,21.1
test,19,20,CPP,MIP-solve,23.2
test,19,20,CPP,VS-build+solve,37.7
test,19,20,CPP,BDD-align-to-vs,64.0
test,19,20,CPP,intersection-build,9.3
test,19,20,CPP,intersection-SP-solve,2.0
test,20,20,gen_instance,all, 8.9
