run,k,n,method,step,time
test,0,10,gen_instance,all, 25.4
test,0,10,plain_MIP,build+solve,0.9
test,0,10,CPP,BDD-build,15.0
test,0,10,CPP,MIP-build,3.6
test,0,10,CPP,MIP-solve,1.4
test,0,10,CPP,VS-build+solve,18.7
test,0,10,CPP,BDD-align-to-vs,17.7
test,0,10,CPP,intersection-build,0.5
test,0,10,CPP,intersection-SP-solve,0.1
test,0,10,CPP,BDD-align-gsifts,149.1
test,0,10,CPP,intersection-gsifts-build,0.3
test,0,10,CPP,intersection-gsifts-SP-solve,0.1
test,1,10,gen_instance,all, 7.2
test,1,10,plain_MIP,build+solve,0.9
test,1,10,CPP,BDD-build,15.1
test,1,10,CPP,MIP-build,4.3
test,1,10,CPP,MIP-solve,1.1
test,1,10,CPP,VS-build+solve,18.0
test,1,10,CPP,BDD-align-to-vs,11.7
test,1,10,CPP,intersection-build,0.4
test,1,10,CPP,intersection-SP-solve,0.1
test,1,10,CPP,BDD-align-gsifts,177.4
test,1,10,CPP,intersection-gsifts-build,0.5
test,1,10,CPP,intersection-gsifts-SP-solve,0.1
test,2,10,gen_instance,all, 7.5
test,2,10,plain_MIP,build+solve,1.3
test,2,10,CPP,BDD-build,17.0
test,2,10,CPP,MIP-build,4.5
test,2,10,CPP,MIP-solve,1.4
test,2,10,CPP,VS-build+solve,12.8
test,2,10,CPP,BDD-align-to-vs,13.2
test,2,10,CPP,intersection-build,0.4
test,2,10,CPP,intersection-SP-solve,0.1
test,2,10,CPP,BDD-align-gsifts,186.7
test,2,10,CPP,intersection-gsifts-build,0.5
test,2,10,CPP,intersection-gsifts-SP-solve,0.1
test,3,10,gen_instance,all, 7.9
test,3,10,plain_MIP,build+solve,1.5
test,3,10,CPP,BDD-build,18.1
test,3,10,CPP,MIP-build,4.9
test,3,10,CPP,MIP-solve,1.5
test,3,10,CPP,VS-build+solve,29.6
test,3,10,CPP,BDD-align-to-vs,13.8
test,3,10,CPP,intersection-build,0.5
test,3,10,CPP,intersection-SP-solve,0.2
test,3,10,CPP,BDD-align-gsifts,191.0
test,3,10,CPP,intersection-gsifts-build,0.8
test,3,10,CPP,intersection-gsifts-SP-solve,0.3
test,4,10,gen_instance,all, 8.1
test,4,10,plain_MIP,build+solve,0.9
test,4,10,CPP,BDD-build,18.2
test,4,10,CPP,MIP-build,4.5
test,4,10,CPP,MIP-solve,1.6
test,4,10,CPP,VS-build+solve,13.2
test,4,10,CPP,BDD-align-to-vs,11.9
test,4,10,CPP,intersection-build,0.7
test,4,10,CPP,intersection-SP-solve,0.1
test,4,10,CPP,BDD-align-gsifts,181.2
test,4,10,CPP,intersection-gsifts-build,0.5
test,4,10,CPP,intersection-gsifts-SP-solve,0.1
test,5,10,gen_instance,all, 7.2
test,5,10,plain_MIP,build+solve,0.9
test,5,10,CPP,BDD-build,72.7
test,5,10,CPP,MIP-build,4.6
test,5,10,CPP,MIP-solve,1.4
test,5,10,CPP,VS-build+solve,11.6
test,5,10,CPP,BDD-align-to-vs,15.7
test,5,10,CPP,intersection-build,0.4
test,5,10,CPP,intersection-SP-solve,0.1
test,5,10,CPP,BDD-align-gsifts,186.6
test,5,10,CPP,intersection-gsifts-build,0.3
test,5,10,CPP,intersection-gsifts-SP-solve,0.1
test,6,10,gen_instance,all, 7.7
test,6,10,plain_MIP,build+solve,0.9
test,6,10,CPP,BDD-build,10.3
test,6,10,CPP,MIP-build,3.3
test,6,10,CPP,MIP-solve,1.0
test,6,10,CPP,VS-build+solve,13.3
test,6,10,CPP,BDD-align-to-vs,7.2
test,6,10,CPP,intersection-build,0.3
test,6,10,CPP,intersection-SP-solve,0.1
test,6,10,CPP,BDD-align-gsifts,139.3
test,6,10,CPP,intersection-gsifts-build,0.2
test,6,10,CPP,intersection-gsifts-SP-solve,0.1
test,7,10,gen_instance,all, 7.1
test,7,10,plain_MIP,build+solve,1.2
test,7,10,CPP,BDD-build,20.4
test,7,10,CPP,MIP-build,5.3
test,7,10,CPP,MIP-solve,2.8
test,7,10,CPP,VS-build+solve,7.7
test,7,10,CPP,BDD-align-to-vs,10.8
test,7,10,CPP,intersection-build,0.7
test,7,10,CPP,intersection-SP-solve,0.1
test,7,10,CPP,BDD-align-gsifts,228.8
test,7,10,CPP,intersection-gsifts-build,0.6
test,7,10,CPP,intersection-gsifts-SP-solve,0.1
test,8,10,gen_instance,all, 7.7
test,8,10,plain_MIP,build+solve,1.0
test,8,10,CPP,BDD-build,14.7
test,8,10,CPP,MIP-build,4.2
test,8,10,CPP,MIP-solve,1.2
test,8,10,CPP,VS-build+solve,9.1
test,8,10,CPP,BDD-align-to-vs,11.1
test,8,10,CPP,intersection-build,0.4
test,8,10,CPP,intersection-SP-solve,0.1
test,8,10,CPP,BDD-align-gsifts,162.8
test,8,10,CPP,intersection-gsifts-build,0.3
test,8,10,CPP,intersection-gsifts-SP-solve,0.1
test,9,10,gen_instance,all, 7.4
test,9,10,plain_MIP,build+solve,1.5
test,9,10,CPP,BDD-build,23.7
test,9,10,CPP,MIP-build,6.2
test,9,10,CPP,MIP-solve,1.9
test,9,10,CPP,VS-build+solve,7.9
test,9,10,CPP,BDD-align-to-vs,13.5
test,9,10,CPP,intersection-build,0.8
test,9,10,CPP,intersection-SP-solve,0.2
test,9,10,CPP,BDD-align-gsifts,231.4
test,9,10,CPP,intersection-gsifts-build,0.7
test,9,10,CPP,intersection-gsifts-SP-solve,0.2
test,10,10,gen_instance,all, 7.3
test,10,10,plain_MIP,build+solve,1.1
test,10,10,CPP,BDD-build,26.3
test,10,10,CPP,MIP-build,6.1
test,10,10,CPP,MIP-solve,1.5
test,10,10,CPP,VS-build+solve,7.9
test,10,10,CPP,BDD-align-to-vs,15.2
test,10,10,CPP,intersection-build,0.7
