instance,num_type,value,comment
-1,legend,orig_simpl_nat,Simplified problem (natural var order)
-1,legend,orig_simpl_rnd,Simplified problem (random var order)
-1,legend,orig_minAB_nat,Best of A and B (natural var order)
-1,legend,orig_minAB_rnd,Best of A and B (random var order)
10-0,orig_simpl_nat_obj,21429,--none--
10-0,orig_minAB_nat_obj,19150,--none--
10-0,orig_simpl_rnd_obj,42553,--none--
10-0,orig_minAB_rnd_obj,33113,--none--
10-1,orig_simpl_nat_obj,746,--none--
10-1,orig_minAB_nat_obj,767,--none--
10-1,orig_simpl_rnd_obj,960,--none--
10-1,orig_minAB_rnd_obj,998,--none--
10-2,orig_simpl_nat_obj,1247,--none--
10-2,orig_minAB_nat_obj,1180,--none--
10-2,orig_simpl_rnd_obj,2806,--none--
10-2,orig_minAB_rnd_obj,2289,--none--
10-3,orig_simpl_nat_obj,1887,--none--
10-3,orig_minAB_nat_obj,1806,--none--
10-3,orig_simpl_rnd_obj,2373,--none--
10-3,orig_minAB_rnd_obj,2149,--none--
10-4,orig_simpl_nat_obj,4692,--none--
10-4,orig_minAB_nat_obj,4458,--none--
10-4,orig_simpl_rnd_obj,6401,--none--
10-4,orig_minAB_rnd_obj,6321,--none--
10-5,orig_simpl_nat_obj,60118,--none--
10-5,orig_minAB_nat_obj,32970,--none--
10-5,orig_simpl_rnd_obj,91783,--none--
10-5,orig_minAB_rnd_obj,80666,--none--
10-6,orig_simpl_nat_obj,7481,--none--
10-6,orig_minAB_nat_obj,5668,--none--
10-6,orig_simpl_rnd_obj,9719,--none--
10-6,orig_minAB_rnd_obj,9839,--none--
10-7,orig_simpl_nat_obj,18759,--none--
10-7,orig_minAB_nat_obj,16086,--none--
10-7,orig_simpl_rnd_obj,29138,--none--
10-7,orig_minAB_rnd_obj,27093,--none--
10-8,orig_simpl_nat_obj,877,--none--
10-8,orig_minAB_nat_obj,881,--none--
10-8,orig_simpl_rnd_obj,1267,--none--
10-8,orig_minAB_rnd_obj,1107,--none--
10-9,orig_simpl_nat_obj,33302,--none--
10-9,orig_minAB_nat_obj,35359,--none--
10-9,orig_simpl_rnd_obj,47947,--none--
10-9,orig_minAB_rnd_obj,44538,--none--
10-10,orig_simpl_nat_obj,147,--none--
10-10,orig_minAB_nat_obj,161,--none--
10-10,orig_simpl_rnd_obj,233,--none--
